name,code,raiway_line,date_opened
Sefton,SFT,Main South,8/10/1924
Seven Hills,SEV,Main Western,1/12/1863
St James,STJ,City Circle,20/12/1926
St Leonards,SNL,North Shore,1/1/1890
St Marys,STM,Main Western,1/5/1862
St Peters,SAP,Illawarra,15/10/1884
Stanmore,SMN,Main Suburban,20/02/1905
Strathfield,STR,Main Suburban,9/7/1876
Summer Hill,SMH,Main Suburban,15/9/1879
Sutherland,SLD,Illawarra,26/12/1885
Sydenham,SDN,Illawarra,15/10/1884
Sydney Terminal,SYD,Main Suburban,26/9/1855
Telopea,TEA,Carlingford,13/06/1925
Tempe,TME,Illawarra,15/10/1884
Thornleigh,THO,Main Northern,17/9/1886
Toongabbie,TGB,Main Western,26/4/1880
Town Hall,THL,North Shore,28/02/1932
Turramurra,TMU,North Shore,1/1/1890
Turrella,TLL,East Hills,21/09/1931
Villawood,VWD,Main South,8/10/1924
Vineyard,VYR,Richmond,14/07/1935
Wahroonga,WHG,North Shore,1/1/1890
Waitara,WTA,North Shore,20/4/1895
Warrawee,WWE,North Shore,1/08/1900
Warwick Farm,WKF,Main South,18/3/1889
Waterfall,WFL,Illawarra,9/3/1886
Waverton,WVT,North Shore,1/5/1893
Wentworthville,WVL,Main Western,1/1/1883
Werrington,WRT,Main Western,2/5/1868
West Ryde,WSR,Main Northern,17/9/1886
Westmead,WMD,Main Western,1/3/1883
Wiley Park,WLP,Bankstown,19/06/1938
Windsor,WSR,Richmond,1/12/1864
Wolli Creek,WCI,Airport,21/05/2000
Wollstonecraft,WSC,North Shore,1/5/1893
Woolooware,WOE,Cronulla,16/12/1939
Wynyard,Wyn,City Circle,28/02/1932
Yagoona,YOA,Bankstown,16/07/1928
Yennora,YNR,Old Main South,6/11/1927
